"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 03 12:24:15 IST 2023","Tue Oct 03 12:24:15 IST 2023","763","","","","","","Test submenu and button on the Kafka + Streaming Data page",""
"skipped","Tue Oct 03 12:24:15 IST 2023","Tue Oct 03 12:24:16 IST 2023","756","","","","","","Test submenu and button on the Billing Mediation Data page",""
"skipped","Tue Oct 03 12:24:09 IST 2023","Tue Oct 03 12:24:10 IST 2023","775","","","","","","Test submenu and button on the Capabilities page",""
"skipped","Tue Oct 03 12:24:14 IST 2023","Tue Oct 03 12:24:15 IST 2023","742","","","","","","Test submenu and button on the Edge page",""
"skipped","Tue Oct 03 12:24:08 IST 2023","Tue Oct 03 12:24:09 IST 2023","739","","","","","","Test submenu and button on the Real-Time Decisioning page",""
"skipped","Tue Oct 03 12:24:07 IST 2023","Tue Oct 03 12:24:08 IST 2023","827","","","","","","Test submenu and button on the No Compromises page",""
"skipped","Tue Oct 03 12:24:06 IST 2023","Tue Oct 03 12:24:07 IST 2023","745","","","","","","Test buttons and links on the Home page",""
"skipped","Tue Oct 03 12:24:12 IST 2023","Tue Oct 03 12:24:12 IST 2023","751","","","","","","Test submenu and button on the Monetizing AI + ML page",""
"skipped","Tue Oct 03 12:24:24 IST 2023","Tue Oct 03 12:24:25 IST 2023","722","","","","","","Test submenu and button on the About page",""
"skipped","Tue Oct 03 12:24:29 IST 2023","Tue Oct 03 12:24:30 IST 2023","730","","","","","","Test the Link Redirection on Footer",""
"skipped","Tue Oct 03 12:24:22 IST 2023","Tue Oct 03 12:24:23 IST 2023","736","","","","","","Test submenu and button on the Support page",""
"skipped","Tue Oct 03 12:24:27 IST 2023","Tue Oct 03 12:24:28 IST 2023","734","","","","","","Test submenu and button on the Team page",""
"skipped","Tue Oct 03 12:24:13 IST 2023","Tue Oct 03 12:24:14 IST 2023","750","","","","","","Test submenu and button on the Cloud page",""
"skipped","Tue Oct 03 12:24:25 IST 2023","Tue Oct 03 12:24:26 IST 2023","738","","","","","","Test submenu and button on the Careers page",""
"skipped","Tue Oct 03 12:24:23 IST 2023","Tue Oct 03 12:24:24 IST 2023","739","","","","","","Test submenu and button on the Professional Services page",""
"skipped","Tue Oct 03 12:24:21 IST 2023","Tue Oct 03 12:24:21 IST 2023","791","","","","","","Test submenu and button on the Partner Program page",""
"skipped","Tue Oct 03 12:24:28 IST 2023","Tue Oct 03 12:24:29 IST 2023","729","","","","","","Test submenu and button on the Contact page",""
"skipped","Tue Oct 03 12:24:16 IST 2023","Tue Oct 03 12:24:17 IST 2023","775","","","","","","Test submenu and button on the BSS page",""
"skipped","Tue Oct 03 12:24:26 IST 2023","Tue Oct 03 12:24:27 IST 2023","834","","","","","","Test submenu and button on the News page",""
"skipped","Tue Oct 03 12:24:20 IST 2023","Tue Oct 03 12:24:21 IST 2023","764","","","","","","Test submenu and button on the Blog page",""
"skipped","Tue Oct 03 12:24:11 IST 2023","Tue Oct 03 12:24:12 IST 2023","733","","","","","","Test submenu and button on the High Availability page",""
"skipped","Tue Oct 03 12:24:10 IST 2023","Tue Oct 03 12:24:11 IST 2023","791","","","","","","Test submenu and button on the Geo Replication page",""
"skipped","Tue Oct 03 12:24:18 IST 2023","Tue Oct 03 12:24:19 IST 2023","716","","","","","","Test submenu and button on the IOT page",""
"skipped","Tue Oct 03 12:24:24 IST 2023","Tue Oct 03 12:24:24 IST 2023","726","","","","","","Test submenu and button on the Documentation page",""
"skipped","Tue Oct 03 12:24:17 IST 2023","Tue Oct 03 12:24:18 IST 2023","752","","","","","","Test submenu and button on the Data Platform for Fantasy Sports page",""
"skipped","Tue Oct 03 12:24:18 IST 2023","Tue Oct 03 12:24:18 IST 2023","727","","","","","","Test submenu and button on the Fraud Prevention page",""
"skipped","Tue Oct 03 12:24:21 IST 2023","Tue Oct 03 12:24:22 IST 2023","720","","","","","","Test submenu and button on the Webinars and Events page",""
"skipped","Tue Oct 03 12:24:30 IST 2023","Tue Oct 03 12:24:30 IST 2023","726","","","","","","Test the Social Media Links Redirection on Footer",""
"skipped","Tue Oct 03 12:24:27 IST 2023","Tue Oct 03 12:24:27 IST 2023","769","","","","","","Test submenu and button on the Press Release page",""
"skipped","Tue Oct 03 12:24:19 IST 2023","Tue Oct 03 12:24:20 IST 2023","743","","","","","","Test submenu and button on the Resources page",""
"skipped","Tue Oct 03 12:24:09 IST 2023","Tue Oct 03 12:24:09 IST 2023","718","","","","","","Test submenu and button on the Volt For 5g page",""
"skipped","Tue Oct 03 12:24:12 IST 2023","Tue Oct 03 12:24:13 IST 2023","732","","","","","","Test submenu and button on the OEM-Friendly page",""
