"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 14:48:07 IST 2023","Wed Nov 01 14:48:21 IST 2023","13868","","","","","","Test submenu and button on the News page",""
"passed","Wed Nov 01 14:49:48 IST 2023","Wed Nov 01 14:50:04 IST 2023","15435","","","","","","Test the Social Media Links Redirection on Footer",""
"passed","Wed Nov 01 14:48:47 IST 2023","Wed Nov 01 14:49:08 IST 2023","20551","","","","","","Test submenu and button on the Team page",""
"passed","Wed Nov 01 14:40:21 IST 2023","Wed Nov 01 14:41:34 IST 2023","72612","","","","","","Test submenu and button on the Data Platform for Fantasy Sports page",""
"passed","Wed Nov 01 14:22:51 IST 2023","Wed Nov 01 14:24:18 IST 2023","86687","","","","","","Test submenu and button on the No Compromises page",""
"passed","Wed Nov 01 14:42:33 IST 2023","Wed Nov 01 14:44:12 IST 2023","98949","","","","","","Test submenu and button on the IOT page",""
"passed","Wed Nov 01 14:31:43 IST 2023","Wed Nov 01 14:32:51 IST 2023","68035","","","","","","Test submenu and button on the OEM-Friendly page",""
"passed","Wed Nov 01 14:36:49 IST 2023","Wed Nov 01 14:38:25 IST 2023","95740","","","","","","Test submenu and button on the Billing Mediation Data page",""
"passed","Wed Nov 01 14:33:24 IST 2023","Wed Nov 01 14:34:19 IST 2023","54492","","","","","","Test submenu and button on the Cloud page",""
"passed","Wed Nov 01 14:49:08 IST 2023","Wed Nov 01 14:49:28 IST 2023","19707","","","","","","Test submenu and button on the Contact page",""
"passed","Wed Nov 01 14:35:36 IST 2023","Wed Nov 01 14:36:49 IST 2023","72895","","","","","","Test submenu and button on the Kafka + Streaming Data page",""
"passed","Wed Nov 01 14:45:38 IST 2023","Wed Nov 01 14:46:37 IST 2023","58805","","","","","","Test submenu and button on the Webinars and Events page",""
"passed","Wed Nov 01 14:46:37 IST 2023","Wed Nov 01 14:46:58 IST 2023","21082","","","","","","Test submenu and button on the Support page",""
"passed","Wed Nov 01 14:27:20 IST 2023","Wed Nov 01 14:28:45 IST 2023","85283","","","","","","Test submenu and button on the Geo Replication page",""
"passed","Wed Nov 01 14:47:20 IST 2023","Wed Nov 01 14:47:41 IST 2023","20380","","","","","","Test submenu and button on the About page",""
"failed","Wed Nov 01 14:44:12 IST 2023","Wed Nov 01 14:44:39 IST 2023","26999","","","","","","Test submenu and button on the Resources page",""
"passed","Wed Nov 01 14:47:09 IST 2023","Wed Nov 01 14:47:20 IST 2023","10990","","","","","","Test submenu and button on the Documentation page",""
"passed","Wed Nov 01 14:28:45 IST 2023","Wed Nov 01 14:30:35 IST 2023","109903","","","","","","Test submenu and button on the High Availability page",""
"passed","Wed Nov 01 14:38:25 IST 2023","Wed Nov 01 14:40:21 IST 2023","116106","","","","","","Test submenu and button on the BSS page",""
"passed","Wed Nov 01 14:30:35 IST 2023","Wed Nov 01 14:31:43 IST 2023","68559","","","","","","Test submenu and button on the Monetizing AI + ML page",""
"broken","Wed Nov 01 14:41:34 IST 2023","Wed Nov 01 14:42:33 IST 2023","59037","","","","","","Test submenu and button on the Fraud Prevention page",""
"passed","Wed Nov 01 14:46:58 IST 2023","Wed Nov 01 14:47:09 IST 2023","11006","","","","","","Test submenu and button on the Professional Services page",""
"passed","Wed Nov 01 14:24:18 IST 2023","Wed Nov 01 14:26:11 IST 2023","113371","","","","","","Test submenu and button on the Volt For 5g page",""
"passed","Wed Nov 01 14:34:19 IST 2023","Wed Nov 01 14:35:36 IST 2023","77389","","","","","","Test submenu and button on the Edge page",""
"broken","Wed Nov 01 14:49:28 IST 2023","Wed Nov 01 14:49:48 IST 2023","20587","","","","","","Test the Link Redirection on Footer",""
"passed","Wed Nov 01 14:26:11 IST 2023","Wed Nov 01 14:27:20 IST 2023","68572","","","","","","Test submenu and button on the Capabilities page",""
"passed","Wed Nov 01 14:44:53 IST 2023","Wed Nov 01 14:45:38 IST 2023","45511","","","","","","Test submenu and button on the Partner Program page",""
"passed","Wed Nov 01 14:48:21 IST 2023","Wed Nov 01 14:48:47 IST 2023","26530","","","","","","Test submenu and button on the Press Release page",""
"passed","Wed Nov 01 14:47:41 IST 2023","Wed Nov 01 14:48:07 IST 2023","26371","","","","","","Test submenu and button on the Careers page",""
"passed","Wed Nov 01 14:44:39 IST 2023","Wed Nov 01 14:44:53 IST 2023","14279","","","","","","Test submenu and button on the Blog page",""
"passed","Wed Nov 01 14:19:03 IST 2023","Wed Nov 01 14:22:51 IST 2023","228294","","","","","","Test buttons and links on the Home page",""
"passed","Wed Nov 01 14:32:51 IST 2023","Wed Nov 01 14:33:24 IST 2023","32900","","","","","","Test submenu and button on the Real-Time Decisioning page",""
