"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 19:02:54 IST 2023","Tue Dec 12 19:03:32 IST 2023","38105","","","","","","Test submenu and button on the Data Platform for Fantasy Sports page",""
"passed","Tue Dec 12 18:54:57 IST 2023","Tue Dec 12 18:55:27 IST 2023","30264","","","","","","Test submenu and button on the Capabilities page",""
"passed","Tue Dec 12 18:58:46 IST 2023","Tue Dec 12 18:59:40 IST 2023","54070","","","","","","Test submenu and button on the Kafka + Streaming Data page",""
"passed","Tue Dec 12 18:57:25 IST 2023","Tue Dec 12 18:57:50 IST 2023","25162","","","","","","Test submenu and button on the Real-Time Decisioning page",""
"passed","Tue Dec 12 18:51:00 IST 2023","Tue Dec 12 18:53:50 IST 2023","170263","","","","","","Test submenu and button on the No Compromises page",""
"passed","Tue Dec 12 19:12:43 IST 2023","Tue Dec 12 19:12:57 IST 2023","14125","","","","","","Test the Social Media Links Redirection on Footer",""
"broken","Tue Dec 12 19:12:35 IST 2023","Tue Dec 12 19:12:43 IST 2023","7919","","","","","","Test the Link Redirection on Footer",""
"passed","Tue Dec 12 18:53:50 IST 2023","Tue Dec 12 18:54:57 IST 2023","66170","","","","","","Test submenu and button on the Volt For 5g page",""
"passed","Tue Dec 12 19:05:10 IST 2023","Tue Dec 12 19:05:47 IST 2023","36956","","","","","","Test submenu and button on the Partner Program page",""
"passed","Tue Dec 12 19:03:57 IST 2023","Tue Dec 12 19:04:44 IST 2023","47207","","","","","","Test submenu and button on the IOT page",""
"passed","Tue Dec 12 19:04:59 IST 2023","Tue Dec 12 19:05:10 IST 2023","11288","","","","","","Test submenu and button on the Blog page",""
"passed","Tue Dec 12 19:08:36 IST 2023","Tue Dec 12 19:08:46 IST 2023","9862","","","","","","Test submenu and button on the About page",""
"broken","Tue Dec 12 18:57:05 IST 2023","Tue Dec 12 18:57:25 IST 2023","20365","","","","","","Test submenu and button on the OEM-Friendly page",""
"passed","Tue Dec 12 19:12:24 IST 2023","Tue Dec 12 19:12:35 IST 2023","10884","","","","","","Test submenu and button on the Contact page",""
"broken","Tue Dec 12 18:50:30 IST 2023","Tue Dec 12 18:51:00 IST 2023","30280","","","","","","Test buttons and links on the Home page",""
"broken","Tue Dec 12 19:00:22 IST 2023","Tue Dec 12 19:02:54 IST 2023","152274","","","","","","Test submenu and button on the BSS page",""
"passed","Tue Dec 12 19:08:46 IST 2023","Tue Dec 12 19:09:05 IST 2023","18797","","","","","","Test submenu and button on the Careers page",""
"broken","Tue Dec 12 19:03:32 IST 2023","Tue Dec 12 19:03:57 IST 2023","24162","","","","","","Test submenu and button on the Fraud Prevention page",""
"passed","Tue Dec 12 18:58:09 IST 2023","Tue Dec 12 18:58:46 IST 2023","37118","","","","","","Test submenu and button on the Edge page",""
"broken","Tue Dec 12 19:04:44 IST 2023","Tue Dec 12 19:04:59 IST 2023","15044","","","","","","Test submenu and button on the Resources page",""
"passed","Tue Dec 12 19:08:27 IST 2023","Tue Dec 12 19:08:36 IST 2023","8801","","","","","","Test submenu and button on the Documentation page",""
"broken","Tue Dec 12 19:05:47 IST 2023","Tue Dec 12 19:05:57 IST 2023","10373","","","","","","Test submenu and button on the Webinars and Events page",""
"passed","Tue Dec 12 19:08:17 IST 2023","Tue Dec 12 19:08:27 IST 2023","10581","","","","","","Test submenu and button on the Professional Services page",""
"broken","Tue Dec 12 18:57:50 IST 2023","Tue Dec 12 18:58:09 IST 2023","18935","","","","","","Test submenu and button on the Cloud page",""
"passed","Tue Dec 12 18:56:07 IST 2023","Tue Dec 12 18:56:45 IST 2023","37474","","","","","","Test submenu and button on the High Availability page",""
"passed","Tue Dec 12 19:09:05 IST 2023","Tue Dec 12 19:09:15 IST 2023","10209","","","","","","Test submenu and button on the News page",""
"passed","Tue Dec 12 18:59:40 IST 2023","Tue Dec 12 19:00:22 IST 2023","41559","","","","","","Test submenu and button on the Billing Mediation Data page",""
"passed","Tue Dec 12 19:09:15 IST 2023","Tue Dec 12 19:10:03 IST 2023","48661","","","","","","Test submenu and button on the Press Release page",""
"passed","Tue Dec 12 19:10:03 IST 2023","Tue Dec 12 19:12:24 IST 2023","140978","","","","","","Test submenu and button on the Team page",""
"passed","Tue Dec 12 18:55:27 IST 2023","Tue Dec 12 18:56:07 IST 2023","40511","","","","","","Test submenu and button on the Geo Replication page",""
"broken","Tue Dec 12 18:56:45 IST 2023","Tue Dec 12 18:57:05 IST 2023","19995","","","","","","Test submenu and button on the Monetizing AI + ML page",""
"passed","Tue Dec 12 19:05:57 IST 2023","Tue Dec 12 19:08:17 IST 2023","139125","","","","","","Test submenu and button on the Support page",""
