"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 16:28:18 IST 2023","Wed Nov 01 16:29:01 IST 2023","43052","","","","","","Test submenu and button on the OEM-Friendly page",""
"passed","Wed Nov 01 16:37:37 IST 2023","Wed Nov 01 16:37:48 IST 2023","11602","","","","","","Test submenu and button on the News page",""
"passed","Wed Nov 01 16:36:42 IST 2023","Wed Nov 01 16:36:52 IST 2023","9448","","","","","","Test submenu and button on the Professional Services page",""
"passed","Wed Nov 01 16:36:53 IST 2023","Wed Nov 01 16:37:20 IST 2023","27228","","","","","","Test submenu and button on the About page",""
"broken","Wed Nov 01 16:38:58 IST 2023","Wed Nov 01 16:39:14 IST 2023","15481","","","","","","Test the Link Redirection on Footer",""
"passed","Wed Nov 01 16:30:41 IST 2023","Wed Nov 01 16:31:14 IST 2023","33595","","","","","","Test submenu and button on the Kafka + Streaming Data page",""
"passed","Wed Nov 01 16:31:14 IST 2023","Wed Nov 01 16:31:50 IST 2023","36237","","","","","","Test submenu and button on the Billing Mediation Data page",""
"passed","Wed Nov 01 16:35:45 IST 2023","Wed Nov 01 16:36:29 IST 2023","44446","","","","","","Test submenu and button on the Webinars and Events page",""
"failed","Wed Nov 01 16:34:33 IST 2023","Wed Nov 01 16:34:53 IST 2023","19364","","","","","","Test submenu and button on the Resources page",""
"failed","Wed Nov 01 16:34:53 IST 2023","Wed Nov 01 16:35:07 IST 2023","14020","","","","","","Test submenu and button on the Blog page",""
"passed","Wed Nov 01 16:31:50 IST 2023","Wed Nov 01 16:32:40 IST 2023","49858","","","","","","Test submenu and button on the BSS page",""
"passed","Wed Nov 01 16:23:38 IST 2023","Wed Nov 01 16:24:06 IST 2023","27964","","","","","","Test submenu and button on the Real-Time Decisioning page",""
"passed","Wed Nov 01 16:25:24 IST 2023","Wed Nov 01 16:26:10 IST 2023","45759","","","","","","Test submenu and button on the Capabilities page",""
"passed","Wed Nov 01 16:32:40 IST 2023","Wed Nov 01 16:33:14 IST 2023","34282","","","","","","Test submenu and button on the Data Platform for Fantasy Sports page",""
"passed","Wed Nov 01 16:27:08 IST 2023","Wed Nov 01 16:27:42 IST 2023","34408","","","","","","Test submenu and button on the High Availability page",""
"passed","Wed Nov 01 16:27:42 IST 2023","Wed Nov 01 16:28:18 IST 2023","36273","","","","","","Test submenu and button on the Monetizing AI + ML page",""
"passed","Wed Nov 01 16:24:06 IST 2023","Wed Nov 01 16:25:24 IST 2023","78500","","","","","","Test submenu and button on the Volt For 5g page",""
"passed","Wed Nov 01 16:26:10 IST 2023","Wed Nov 01 16:27:08 IST 2023","57719","","","","","","Test submenu and button on the Geo Replication page",""
"broken","Wed Nov 01 16:33:14 IST 2023","Wed Nov 01 16:34:05 IST 2023","50157","","","","","","Test submenu and button on the Fraud Prevention page",""
"passed","Wed Nov 01 16:36:29 IST 2023","Wed Nov 01 16:36:42 IST 2023","12967","","","","","","Test submenu and button on the Support page",""
"passed","Wed Nov 01 16:37:48 IST 2023","Wed Nov 01 16:38:27 IST 2023","38863","","","","","","Test submenu and button on the Press Release page",""
"passed","Wed Nov 01 16:39:14 IST 2023","Wed Nov 01 16:39:29 IST 2023","15397","","","","","","Test the Social Media Links Redirection on Footer",""
"broken","Wed Nov 01 16:36:52 IST 2023","Wed Nov 01 16:36:53 IST 2023","932","","","","","","Test submenu and button on the Documentation page",""
"broken","Wed Nov 01 16:37:20 IST 2023","Wed Nov 01 16:37:37 IST 2023","16895","","","","","","Test submenu and button on the Careers page",""
"passed","Wed Nov 01 16:29:01 IST 2023","Wed Nov 01 16:29:45 IST 2023","43794","","","","","","Test submenu and button on the Cloud page",""
"passed","Wed Nov 01 16:22:58 IST 2023","Wed Nov 01 16:23:38 IST 2023","39412","","","","","","Test submenu and button on the No Compromises page",""
"passed","Wed Nov 01 16:38:37 IST 2023","Wed Nov 01 16:38:58 IST 2023","20666","","","","","","Test submenu and button on the Contact page",""
"passed","Wed Nov 01 16:29:45 IST 2023","Wed Nov 01 16:30:41 IST 2023","55399","","","","","","Test submenu and button on the Edge page",""
"passed","Wed Nov 01 16:35:07 IST 2023","Wed Nov 01 16:35:45 IST 2023","38130","","","","","","Test submenu and button on the Partner Program page",""
"passed","Wed Nov 01 16:21:45 IST 2023","Wed Nov 01 16:22:58 IST 2023","73499","","","","","","Test buttons and links on the Home page",""
"passed","Wed Nov 01 16:38:27 IST 2023","Wed Nov 01 16:38:37 IST 2023","10113","","","","","","Test submenu and button on the Team page",""
"passed","Wed Nov 01 16:34:05 IST 2023","Wed Nov 01 16:34:33 IST 2023","28753","","","","","","Test submenu and button on the IOT page",""
