"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 03 12:33:37 IST 2023","Tue Oct 03 12:33:39 IST 2023","1394","","","","","","Test submenu and button on the Press Release page",""
"skipped","Tue Oct 03 12:33:22 IST 2023","Tue Oct 03 12:33:22 IST 2023","807","","","","","","Test submenu and button on the Cloud page",""
"skipped","Tue Oct 03 12:33:22 IST 2023","Tue Oct 03 12:33:23 IST 2023","739","","","","","","Test submenu and button on the Edge page",""
"skipped","Tue Oct 03 12:33:36 IST 2023","Tue Oct 03 12:33:37 IST 2023","1316","","","","","","Test submenu and button on the News page",""
"skipped","Tue Oct 03 12:33:31 IST 2023","Tue Oct 03 12:33:32 IST 2023","765","","","","","","Test submenu and button on the Support page",""
"skipped","Tue Oct 03 12:33:32 IST 2023","Tue Oct 03 12:33:32 IST 2023","782","","","","","","Test submenu and button on the Professional Services page",""
"skipped","Tue Oct 03 12:33:18 IST 2023","Tue Oct 03 12:33:19 IST 2023","737","","","","","","Test submenu and button on the High Availability page",""
"skipped","Tue Oct 03 12:33:27 IST 2023","Tue Oct 03 12:33:28 IST 2023","762","","","","","","Test submenu and button on the IOT page",""
"skipped","Tue Oct 03 12:33:15 IST 2023","Tue Oct 03 12:33:16 IST 2023","751","","","","","","Test submenu and button on the No Compromises page",""
"skipped","Tue Oct 03 12:33:17 IST 2023","Tue Oct 03 12:33:18 IST 2023","753","","","","","","Test submenu and button on the Geo Replication page",""
"skipped","Tue Oct 03 12:33:23 IST 2023","Tue Oct 03 12:33:24 IST 2023","736","","","","","","Test submenu and button on the Kafka + Streaming Data page",""
"skipped","Tue Oct 03 12:33:30 IST 2023","Tue Oct 03 12:33:31 IST 2023","753","","","","","","Test submenu and button on the Webinars and Events page",""
"skipped","Tue Oct 03 12:33:19 IST 2023","Tue Oct 03 12:33:20 IST 2023","944","","","","","","Test submenu and button on the Monetizing AI + ML page",""
"skipped","Tue Oct 03 12:33:33 IST 2023","Tue Oct 03 12:33:35 IST 2023","1311","","","","","","Test submenu and button on the About page",""
"skipped","Tue Oct 03 12:33:20 IST 2023","Tue Oct 03 12:33:21 IST 2023","806","","","","","","Test submenu and button on the OEM-Friendly page",""
"skipped","Tue Oct 03 12:33:26 IST 2023","Tue Oct 03 12:33:27 IST 2023","754","","","","","","Test submenu and button on the Fraud Prevention page",""
"skipped","Tue Oct 03 12:33:40 IST 2023","Tue Oct 03 12:33:41 IST 2023","784","","","","","","Test submenu and button on the Contact page",""
"skipped","Tue Oct 03 12:33:28 IST 2023","Tue Oct 03 12:33:29 IST 2023","764","","","","","","Test submenu and button on the Blog page",""
"skipped","Tue Oct 03 12:33:25 IST 2023","Tue Oct 03 12:33:25 IST 2023","741","","","","","","Test submenu and button on the BSS page",""
"skipped","Tue Oct 03 12:33:14 IST 2023","Tue Oct 03 12:33:15 IST 2023","853","","","","","","Test buttons and links on the Home page",""
"skipped","Tue Oct 03 12:33:17 IST 2023","Tue Oct 03 12:33:17 IST 2023","743","","","","","","Test submenu and button on the Capabilities page",""
"skipped","Tue Oct 03 12:33:16 IST 2023","Tue Oct 03 12:33:17 IST 2023","744","","","","","","Test submenu and button on the Volt For 5g page",""
"skipped","Tue Oct 03 12:33:25 IST 2023","Tue Oct 03 12:33:26 IST 2023","738","","","","","","Test submenu and button on the Data Platform for Fantasy Sports page",""
"skipped","Tue Oct 03 12:33:32 IST 2023","Tue Oct 03 12:33:33 IST 2023","988","","","","","","Test submenu and button on the Documentation page",""
"skipped","Tue Oct 03 12:33:28 IST 2023","Tue Oct 03 12:33:28 IST 2023","751","","","","","","Test submenu and button on the Resources page",""
"skipped","Tue Oct 03 12:33:29 IST 2023","Tue Oct 03 12:33:30 IST 2023","803","","","","","","Test submenu and button on the Partner Program page",""
"skipped","Tue Oct 03 12:33:35 IST 2023","Tue Oct 03 12:33:36 IST 2023","1296","","","","","","Test submenu and button on the Careers page",""
"skipped","Tue Oct 03 12:33:39 IST 2023","Tue Oct 03 12:33:40 IST 2023","1072","","","","","","Test submenu and button on the Team page",""
"skipped","Tue Oct 03 12:33:24 IST 2023","Tue Oct 03 12:33:25 IST 2023","744","","","","","","Test submenu and button on the Billing Mediation Data page",""
"skipped","Tue Oct 03 12:33:41 IST 2023","Tue Oct 03 12:33:41 IST 2023","805","","","","","","Test the Link Redirection on Footer",""
"skipped","Tue Oct 03 12:33:41 IST 2023","Tue Oct 03 12:33:42 IST 2023","849","","","","","","Test the Social Media Links Redirection on Footer",""
"skipped","Tue Oct 03 12:33:21 IST 2023","Tue Oct 03 12:33:22 IST 2023","954","","","","","","Test submenu and button on the Real-Time Decisioning page",""
